Data/Hora,Classe,Confiança
Data/Hora,Classe,Confiança
Data/Hora,Classe,Confiança
Data/Hora,Classe,Confiança
2024-12-27 21:53:37,person,0.59
2024-12-27 21:53:37,spoon,0.27
2024-12-27 21:53:37,person,0.86
2024-12-27 21:53:37,person,0.76
2024-12-27 21:53:37,person,0.89
2024-12-27 21:53:38,person,0.82
2024-12-27 21:53:38,person,0.87
2024-12-27 21:53:38,person,0.89
2024-12-27 21:53:38,person,0.83
2024-12-27 21:53:38,person,0.85
2024-12-27 21:53:38,cell phone,0.58
2024-12-27 21:53:39,person,0.85
2024-12-27 21:53:39,cell phone,0.64
2024-12-27 21:53:39,cell phone,0.35
2024-12-27 21:53:39,person,0.79
2024-12-27 21:53:39,cell phone,0.49
2024-12-27 21:53:39,cell phone,0.35
2024-12-27 21:53:39,person,0.84
2024-12-27 21:53:39,cell phone,0.49
2024-12-27 21:53:39,cell phone,0.49
2024-12-27 21:53:39,person,0.84
2024-12-27 21:53:39,cell phone,0.54
2024-12-27 21:53:39,person,0.85
2024-12-27 21:53:39,cell phone,0.49
2024-12-27 21:53:39,cell phone,0.28
2024-12-27 21:53:39,person,0.88
2024-12-27 21:53:39,cell phone,0.57
2024-12-27 21:53:39,cell phone,0.37
2024-12-27 21:53:40,person,0.88
2024-12-27 21:53:40,cell phone,0.44
2024-12-27 21:53:40,cell phone,0.29
2024-12-27 21:53:40,person,0.89
2024-12-27 21:53:40,cell phone,0.48
2024-12-27 21:53:40,cell phone,0.39
2024-12-27 21:53:40,person,0.86
2024-12-27 21:53:40,cell phone,0.57
2024-12-27 21:53:40,person,0.87
2024-12-27 21:53:40,cell phone,0.42
2024-12-27 21:53:40,cell phone,0.31
2024-12-27 21:53:40,person,0.85
2024-12-27 21:53:40,person,0.84
2024-12-27 21:53:40,person,0.77
2024-12-27 21:53:40,cell phone,0.33
2024-12-27 21:53:41,person,0.8
2024-12-27 21:53:41,person,0.79
2024-12-27 21:53:41,person,0.81
2024-12-27 21:53:41,cell phone,0.45
2024-12-27 21:53:41,person,0.79
2024-12-27 21:53:41,cell phone,0.33
2024-12-27 21:53:41,person,0.84
2024-12-27 21:53:41,person,0.86
2024-12-27 21:53:41,cell phone,0.4
2024-12-27 21:53:42,person,0.74
2024-12-27 21:53:42,person,0.85
2024-12-27 21:53:42,person,0.84
2024-12-27 21:53:42,person,0.77
2024-12-27 21:53:42,cell phone,0.28
2024-12-27 21:53:42,person,0.86
2024-12-27 21:53:42,person,0.76
2024-12-27 21:53:42,cell phone,0.47
2024-12-27 21:53:42,person,0.83
2024-12-27 21:53:43,person,0.79
2024-12-27 21:53:43,cell phone,0.44
2024-12-27 21:53:43,person,0.82
2024-12-27 21:53:43,person,0.8
2024-12-27 21:53:43,cell phone,0.26
2024-12-27 21:53:43,person,0.82
2024-12-27 21:53:43,person,0.78
2024-12-27 21:53:43,person,0.84
2024-12-27 21:53:44,person,0.72
2024-12-27 21:53:44,person,0.66
2024-12-27 21:53:44,person,0.27
2024-12-27 21:53:44,person,0.82
2024-12-27 21:53:44,person,0.84
2024-12-27 21:53:44,person,0.82
2024-12-27 21:53:44,person,0.46
2024-12-27 21:53:44,person,0.73
2024-12-27 21:53:44,person,0.44
2024-12-27 21:53:44,person,0.84
2024-12-27 21:53:45,person,0.83
2024-12-27 21:53:45,toothbrush,0.31
2024-12-27 21:53:45,person,0.82
2024-12-27 21:53:45,person,0.83
2024-12-27 21:53:45,remote,0.33
2024-12-27 21:53:45,person,0.82
2024-12-27 21:53:45,remote,0.55
2024-12-27 21:53:45,person,0.84
2024-12-27 21:53:45,person,0.83
2024-12-27 21:53:45,person,0.84
2024-12-27 21:53:45,person,0.82
2024-12-27 21:53:46,person,0.81
2024-12-27 21:53:46,person,0.81
2024-12-27 21:53:46,person,0.84
2024-12-27 21:53:46,toothbrush,0.38
2024-12-27 21:53:46,person,0.76
2024-12-27 21:53:46,person,0.85
2024-12-27 21:53:46,person,0.8
2024-12-27 21:53:47,person,0.77
2024-12-27 21:53:47,person,0.69
2024-12-27 21:53:47,person,0.69
2024-12-27 21:53:47,person,0.65
2024-12-27 21:53:47,person,0.7
2024-12-27 21:53:47,person,0.7
2024-12-27 21:53:47,person,0.67
2024-12-27 21:53:48,person,0.68
2024-12-27 21:53:48,person,0.84
2024-12-27 21:53:48,person,0.86
2024-12-27 21:53:48,person,0.39
2024-12-27 21:53:48,person,0.88
2024-12-27 21:53:48,person,0.75
2024-12-27 21:53:48,person,0.8
2024-12-27 21:53:48,person,0.79
2024-12-27 21:53:48,person,0.29
2024-12-27 21:53:49,person,0.78
2024-12-27 21:53:49,person,0.82
2024-12-27 21:53:49,person,0.78
2024-12-27 21:53:49,person,0.8
2024-12-27 21:53:49,bottle,0.36
2024-12-27 21:53:49,person,0.84
2024-12-27 21:53:49,person,0.89
